x,y,z,cluster
2.5647,3.5704,3.7816,Alpha
1.9111,3.3172,4.2627,Alpha
5.382,2.8899,2.5175,Alpha
1.8277,0.9938,2.2658,Alpha
5.1634,2.8696,3.8758,Alpha
4.854,3.6721,4.9437,Alpha
5.0903,2.6544,3.1519,Alpha
1.9007,1.776,3.9766,Alpha
3.4515,4.2883,3.6724,Alpha
5.9634,2.3026,3.9313,Alpha
3.316,2.3843,3.4298,Alpha
2.9533,0.5452,3.5722,Alpha
3.0668,3.9527,1.4149,Alpha
3.2092,-0.1629,1.7647,Alpha
3.3032,0.4301,3.9728,Alpha
3.407,3.7263,3.8673,Alpha
3.4203,5.4002,4.4609,Alpha
2.8906,3.6432,3.2999,Alpha
1.285,3.9738,3.0007,Alpha
5.3294,2.6756,3.7029,Alpha
6.0138,2.9896,2.79,Alpha
4.5993,4.5858,3.512,Alpha
3.9477,3.1947,3.5884,Alpha
3.8831,4.2375,3.6238,Alpha
2.6386,4.3679,2.9698,Alpha
4.013,4.7783,0.3776,Alpha
3.1149,1.2249,3.2745,Alpha
3.2686,3.8426,3.0966,Alpha
7.4194,2.6009,3.3895,Alpha
2.6731,1.8698,4.4121,Alpha
5.3865,1.3333,3.0401,Alpha
4.0775,2.1293,3.1767,Alpha
3.081,3.5075,3.0015,Alpha
5.5867,4.4382,3.466,Alpha
3.8818,2.6314,3.503,Alpha
3.5863,1.1868,2.6017,Alpha
3.8039,1.3431,3.3755,Alpha
3.4265,1.3154,2.1115,Alpha
4.8798,2.1975,3.7608,Alpha
4.0145,3.1874,3.27,Alpha
2.6403,1.4712,2.6815,Alpha
2.4417,2.2375,2.8561,Alpha
5.5452,1.6216,4.4267,Alpha
3.5664,3.8716,3.5357,Alpha
3.3788,1.378,4.2054,Alpha
4.4901,5.082,3.6859,Alpha
4.4542,5.844,4.2679,Alpha
4.1571,3.8721,4.9256,Alpha
3.7276,0.6314,2.0565,Alpha
5.0452,3.4656,3.6188,Alpha
5.7867,3.5629,3.1756,Alpha
4.7651,3.3898,3.2851,Alpha
4.6378,3.811,3.1898,Alpha
3.9871,1.1025,2.0087,Alpha
5.4171,2.5225,3.4083,Alpha
2.1168,2.7042,2.6174,Alpha
