x,y,z,intensity
-3.0546,3.4069,-0.2895,0.26369
4.5726,-4.301,0.3208,0.17283
-0.7151,6.9747,-0.2181,0.15965
-4.8271,-5.557,-0.7134,0.15743
7.5854,5.3826,0.1803,0.14464
-6.8841,5.0994,-0.2239,0.12765
-6.0272,-4.3604,-0.1086,0.12356
2.5598,-5.5969,0.0472,0.23221
1.1386,6.3176,-0.4471,0.19515
-3.0244,3.4318,-0.5635,0.37327
-0.0887,-5.1123,-0.2701,0.45366
0.8601,-2.377,-0.4153,0.60093
-5.3975,0.7906,0.0358,0.19573
6.5879,-3.6341,-0.0514,0.16609
-5.7425,7.0701,-0.2853,0.12772
-0.6153,3.2864,0.6876,0.51848
-2.5819,-2.7005,0.7203,0.26062
-2.8655,7.5988,-0.1521,0.1331
-6.3022,-0.7596,0.3857,0.20618
-3.1292,-2.6039,0.0677,0.27408
4.545,2.3644,-0.6163,0.22046
-4.7886,2.6094,-0.0467,0.26426
-1.8117,1.1239,-1.314,0.59082
-8.0796,2.9237,-0.1699,0.08405
-4.3878,-5.3297,-0.3049,0.14474
4.7259,-5.8718,0.233,0.14505
-6.3758,3.7671,0.0103,0.09746
-4.1459,2.7441,-0.122,0.17811
0.4147,-5.7538,0.0628,0.17947
-3.0215,6.6989,0.2443,0.16421
-2.6932,2.5032,-0.2664,0.41793
7.3285,-1.6727,-0.1676,0.1295
4.8088,1.2599,0.4328,0.288
-0.0798,-7.6469,0.1848,0.06267
-1.6545,-4.6704,0.0926,0.44228
-6.9774,5.3801,0.6185,0.09103
0.3754,1.1334,-1.1332,0.83591
4.5182,-4.5362,-0.3007,0.14669
4.2989,1.3148,0.9902,0.33672
-6.711,-3.4473,-0.1182,0.10342
8.8939,2.9378,-0.05,0.06048
-8.5517,4.2402,0.1444,0.11674
-4.625,-6.9178,0.0183,0.15555
5.8727,-3.6534,-0.3533,0.2139
-5.7572,5.7555,0.3372,0.14596
-0.4098,3.2623,0.1464,0.41346
-2.7674,-2.5796,-0.6662,0.34879
0.4076,7.8076,-0.1383,0.13515
2.075,1.3203,1.5986,0.53257
-0.4678,-5.8483,-0.5432,0.29845
-0.1653,-0.8824,-0.5235,0.67728
1.5946,0.7289,-0.2382,0.45376
-2.0196,-2.0866,0.3895,0.49893
-1.4799,7.3441,-0.3112,0.16289
-5.8291,-5.632,0.6599,0.1661
0.9951,-5.3166,-0.0004,0.2418
2.7952,6.3981,0.4871,0.23473
-5.3817,-3.6275,-0.2939,0.12663
7.48,-1.2591,0.228,0.19786
-3.2971,5.9731,0.0422,0.15388
1.7825,-9.5011,-0.1865,0.07507
8.9819,5.8976,-0.0628,0.10094
3.9325,0.5979,0.5649,0.47193
-6.3099,-1.7271,-0.1476,0.31507
-2.6067,-2.2228,-0.0735,0.41498
0.6469,6.9655,-0.1432,0.19633
-5.8788,0.1075,-0.1847,0.14294
1.7777,-5.1417,0.0555,0.16215
-1.2137,6.5889,-0.8655,0.24919
-4.6684,1.3659,-0.0076,0.23825
3.2921,-5.1148,0.568,0.2633
0.3913,-1.118,1.1886,0.48428
-4.0919,3.7624,0.8258,0.25781
8.6493,3.6553,0.2179,0.08176
3.5016,0.2453,-0.2502,0.58204
-7.1963,-1.5592,-0.4973,0.15222
-1.0055,-4.1576,-0.22,0.19428
3.7698,-0.0707,0.5157,0.43493
-1.6428,-8.5002,0.1536,0.13356
-4.3868,-1.6001,-1.0782,0.35106
-0.7021,7.8006,-0.0529,0.25102
-2.0856,-8.6202,-0.2904,0.07038
6.9666,6.4032,-0.0028,0.06122
4.7445,3.0481,0.3617,0.33968
-5.3242,-6.1567,-0.0136,0.17917
7.1264,-1.4539,-0.0824,0.13218
4.7451,2.8086,-0.6107,0.47494
1.2126,-0.1937,-0.66,1.07054
0.1613,-4.2174,0.3803,0.46545
3.6892,4.1938,-0.1272,0.19333
-2.0174,3.5045,0.6077,0.55705
-2.1504,-1.514,-0.5915,0.61392
1.7363,-0.8598,-0.8523,0.59651
-7.2277,-2.0978,-0.6071,0.18167
-2.7497,-1.3027,-0.6515,0.53663
1.063,-0.1523,-0.1372,0.91838
0.9885,2.6554,1.7288,0.37429
3.5426,-5.3758,-0.6986,0.23991
-4.5144,7.1629,0.2826,0.11461
-3.3787,2.8084,-0.1039,0.18601
6.7744,7.4138,0.2285,0.08353
2.0448,6.5156,-0.0385,0.15372
1.3848,1.5286,0.869,0.62905
8.2234,-2.1856,0.0299,0.13936
-2.2743,7.8552,0.1114,0.09695
-0.4127,4.7369,0.7729,0.26002
-0.8949,-5.4347,-0.2523,0.33911
-9.7159,2.2688,0.2546,0.09265
2.6237,-8.6198,-0.2656,0.09145
-1.7462,-3.2241,0.2338,0.3776
4.5413,1.1226,-0.2912,0.38153
-2.4174,2.8734,0.0678,0.26624
-0.6586,0.3208,1.0317,0.37427
-1.0503,6.7014,-0.277,0.15999
-6.9197,-3.0301,-0.3932,0.13353
6.8444,-2.0788,0.1696,0.18529
-6.5843,5.5139,-0.2841,0.06865
-3.6861,2.0771,0.1431,0.51345
-3.3779,-0.3316,0.4361,0.60776
1.6761,-1.3948,-1.0107,0.61562
-4.9731,1.3347,-0.2638,0.40298
-1.7508,0.1712,-0.0471,0.79281
-9.3836,3.6801,0.0087,0.12652
-4.3961,-6.5678,0.0092,0.01955
9.302,2.7813,0.3948,0.16255
2.4114,5.0793,0.5604,0.21115
-5.078,-5.0918,-0.3524,0.1164
5.3274,-5.3008,0.0001,0.19953
-5.4504,5.3292,0.0095,0.17398
-5.5528,-0.3383,-0.1299,0.20302
-1.1812,-2.6765,-0.0245,0.54567
4.519,-0.1798,-0.4985,0.40916
-2.7134,-9.2628,0.1841,0.12662
-0.8569,-0.3781,0.2783,0.69613
-4.948,6.7394,0.3655,0.15223
-0.1498,-9.3438,-0.1717,0.10915
-3.2938,-1.3764,-0.6022,0.2845
-6.4923,5.8988,0.0987,0.11013
0.9538,0.5018,0.7676,0.41538
8.0314,-3.4813,0.074,0.16724
3.6619,0.6325,0.1612,0.32315
1.1907,1.8356,-0.5716,0.55589
7.6388,-0.4117,-0.0741,0.22701
1.7968,6.3181,0.239,0.15606
-1.7941,-7.8139,0.359,0.14698
3.0117,-4.7064,-0.131,0.23535
-3.0732,6.058,0.3445,0.19615
0.1461,1.0542,0.4886,0.58707
0.1379,-4.7051,-0.1562,0.47372
1.8575,-2.2991,-0.6238,0.62632
-0.8023,-9.3915,0.2182,0.10221
-2.9141,-1.7975,-0.2309,0.44226
-4.2004,6.4933,-0.159,0.17411
-5.7346,-3.3857,-0.3659,0.21787
6.5023,6.4726,0.0545,0.08471
-2.8481,6.2962,-0.3349,0.09365
-6.235,-2.8589,-0.1188,0.16589
5.6348,7.034,-0.3048,0.04715
-5.7815,6.5012,0.0266,0.14998
0.1407,3.5085,-0.0247,0.43741
-2.4523,-0.2132,-0.6298,0.63513
4.9836,1.7615,0.8389,0.20662
-5.7761,-0.0992,-0.0187,0.22861
-1.0359,-3.7243,0.7168,0.39643
-9.5545,3.2641,0.0522,0.05877
-6.118,-5.8273,0.0029,0.1297
7.4301,4.6419,-0.2243,0.10119
-9.0983,2.689,-0.0988,0.1193
2.9135,-8.5017,-0.0852,0.0732
-1.8506,-2.1319,0.245,0.43444
4.5626,1.2914,-0.3619,0.39123
-5.2392,0.5903,-0.2343,0.23851
-0.589,-4.0488,0.2114,0.37428
0.3819,-1.834,0.3274,0.70073
-6.1591,-2.515,0.168,0.18643
7.3314,5.7658,-0.2325,0.10347
-5.9524,5.2098,0.3894,0.141
1.0713,-0.1916,-0.0809,0.76849
-2.2614,-1.597,-1.1736,0.37518
-7.3132,4.364,0.1376,0.1035
0.3722,3.3781,0.505,0.42076
8.2146,-1.4395,0.1177,0.16646
3.3934,3.8345,-0.4256,0.28455
-0.3774,2.7746,0.3767,0.26949
-2.2807,-0.1634,-0.5494,0.46147
2.1287,-1.6532,0.5361,0.53397
0.4513,2.3953,-0.0629,0.55091
7.2061,5.6101,-0.0643,0.11771
0.1033,7.0541,0.2504,0.14747
-4.1163,-6.2315,0.3364,0.15315
7.0705,5.9371,-0.1703,0.13115
0.5737,6.9891,-0.4702,0.1169
0.674,3.2498,-0.6892,0.39207
-1.4221,-3.1136,0.2397,0.48313
-9.4111,2.6374,0.1907,0.1087
-6.5297,-4.208,0.261,0.11403
7.2174,-3.1401,-0.0634,0.09278
0.2233,-0.9014,1.8566,0.92097
-0.6122,3.2564,-0.6257,0.33311
3.8892,-4.0562,-0.1629,0.18328
0.0435,-0.3368,-2.3331,1.20822
0.708,0.2169,1.6546,1.01629
-1.6556,-0.2199,0.188,0.81227
-8.634,2.1459,0.1616,0.05813
-5.6364,-3.2605,-0.698,0.23539
7.4862,-1.2179,0.3402,0.09242
-2.563,7.9606,0.2053,0.17098
-5.6893,-4.8901,0.0043,0.12627
-1.1911,0.5024,2.0483,0.64697
2.2246,-1.1641,-0.6078,0.45069
-0.3972,-8.5136,0.0733,0.10921
-0.9771,-4.2976,-0.4255,0.47046
1.2305,-2.4783,-0.2594,0.5222
-4.1588,2.7967,0.4619,0.29952
-2.269,-1.1966,1.8553,0.79103
-7.3399,4.6546,-0.5811,0.11259
0.1261,2.2001,1.4593,0.5786
-1.6138,0.0315,0.3307,0.85289
-2.59,7.8536,0.2176,0.11932
-6.0733,-1.0653,0.2265,0.27358
-0.7076,-4.5601,0.1378,0.16219
3.3158,4.8212,-0.3609,0.16844
-0.796,-9.0025,0.5025,0.09132
0.4514,-5.4113,0.2196,0.16964
2.5238,5.4691,0.6279,0.21057
-1.9507,3.8438,0.4095,0.14443
7.7548,1.6507,-0.2504,0.17677
4.9456,3.0285,0.1568,0.24569
-4.1789,-5.8417,-0.0391,0.13274
7.3861,-1.125,0.5811,0.10382
-3.7505,7.1907,0.3458,0.16005
-6.2163,-1.3105,0.2343,0.23449
8.1878,4.9527,-0.1119,0.06354
